#   size (B)   time (ms)
        1024         9.7
        2048         5.9
        4096         5.9
        8192         5.7
       16384         5.6
       32768         5.0
       65536        19.4
      131072        19.4
      262144        20.6
      524288        24.6
     1048576        24.7
     2097152        24.7
     4194304        25.2
     8388608        64.4
    16777216       122.3
