#   size (B)   time (ms)
        1024        59.4
        2048        58.4
        4096        59.6
        8192        59.4
       16384        58.8
       32768        60.7
       65536        58.3
      131072        58.3
      262144        58.4
      524288        58.4
     1048576        58.5
     2097152        58.5
     4194304        59.0
     8388608        71.9
    16777216       115.9
