#   size (B)   time (ms)
        1024         8.9
        2048         5.2
        4096         4.9
        8192         5.0
       16384         5.5
       32768         5.0
       65536        19.4
      131072        19.6
      262144        21.4
      524288        24.8
     1048576        24.8
     2097152        24.8
     4194304        25.7
     8388608        58.3
    16777216       121.9
